delay (Vbp=1.1) X,delay (Vbp=1.1) Y,delay (Vbp=1.2) X,delay (Vbp=1.2) Y,delay (Vbp=1.3) X,delay (Vbp=1.3) Y,delay (Vbp=1.5) X,delay (Vbp=1.5) Y
1e-06,9.469136283325902e-10,1e-06,9.855716461532074e-10,1e-06,1.022611191964639e-09,1e-06,1.091756575998112e-09
1.02e-06,9.688948046883415e-10,1.02e-06,1.007897051026998e-09,1.02e-06,1.045041312961343e-09,1.02e-06,1.115287933976308e-09
1.04e-06,9.912142094267099e-10,1.04e-06,1.030685356829125e-09,1.04e-06,1.068640701510137e-09,1.04e-06,1.139532378200161e-09
1.06e-06,1.013241535913571e-09,1.06e-06,1.053377134829119e-09,1.06e-06,1.091691871007595e-09,1.06e-06,1.16392094741258e-09
1.08e-06,1.035556021852972e-09,1.08e-06,1.076064354264872e-09,1.08e-06,1.114726112577448e-09,1.08e-06,1.187323397263002e-09
1.1e-06,1.057682302923011e-09,1.1e-06,1.098880957408227e-09,1.1e-06,1.138053600793925e-09,1.1e-06,1.211078138312074e-09
1.12e-06,1.080093759703288e-09,1.12e-06,1.121753474704801e-09,1.12e-06,1.161500335973947e-09,1.12e-06,1.23616085388062e-09
1.14e-06,1.101928975132759e-09,1.14e-06,1.144068167621467e-09,1.14e-06,1.184345525809496e-09,1.14e-06,1.259519553825652e-09
1.16e-06,1.124205325302807e-09,1.16e-06,1.16685099885657e-09,1.16e-06,1.207297986284033e-09,1.16e-06,1.28353555814093e-09
1.18e-06,1.146547862115938e-09,1.18e-06,1.189381891216839e-09,1.18e-06,1.23063327747371e-09,1.18e-06,1.307429270141239e-09
1.2e-06,1.168714616839956e-09,1.2e-06,1.212321769718078e-09,1.2e-06,1.253943278972219e-09,1.2e-06,1.331591927911923e-09
1.22e-06,1.190852821072138e-09,1.22e-06,1.234927264312259e-09,1.22e-06,1.276859191562903e-09,1.22e-06,1.355682953754011e-09
1.24e-06,1.213124924840546e-09,1.24e-06,1.25764937122798e-09,1.24e-06,1.300075347227109e-09,1.24e-06,1.379261662381373e-09
1.26e-06,1.235125080615309e-09,1.26e-06,1.280234424964514e-09,1.26e-06,1.323160670030968e-09,1.26e-06,1.4033097241309e-09
1.28e-06,1.257636398704863e-09,1.28e-06,1.30305086023757e-09,1.28e-06,1.346622737806074e-09,1.28e-06,1.427701121399438e-09
1.3e-06,1.279679263683016e-09,1.3e-06,1.325460731934203e-09,1.3e-06,1.369394135774671e-09,1.3e-06,1.451438163927253e-09
1.32e-06,1.301793351178721e-09,1.32e-06,1.348186337948354e-09,1.32e-06,1.392475605254104e-09,1.32e-06,1.474841295538781e-09
1.34e-06,1.323651397689743e-09,1.34e-06,1.370786100028096e-09,1.34e-06,1.415282118925246e-09,1.34e-06,1.499049677638916e-09
1.36e-06,1.345990891493617e-09,1.36e-06,1.39347145881785e-09,1.36e-06,1.43893351283403e-09,1.36e-06,1.523698283936727e-09
1.38e-06,1.367983911192493e-09,1.38e-06,1.416093143430154e-09,1.38e-06,1.461349317131994e-09,1.38e-06,1.547482160563617e-09
1.4e-06,1.390545023229527e-09,1.4e-06,1.439014597422957e-09,1.4e-06,1.485061688445539e-09,1.4e-06,1.571609781860227e-09
